Input_Size,Run_ID,Algorithm,Comparisons
1000,65,BubbleSort,999000
1000,65,InsertionSort,245492
1000,65,SelectionSort,499500
1000,65,MergeSort,8753
1000,65,QuickSort,11083
1000,65,HeapSort,11682
1000,66,BubbleSort,999000
1000,66,InsertionSort,258432
1000,66,SelectionSort,499500
1000,66,MergeSort,8720
1000,66,QuickSort,11770
1000,66,HeapSort,11603
1000,67,BubbleSort,999000
1000,67,InsertionSort,259134
1000,67,SelectionSort,499500
1000,67,MergeSort,8709
1000,67,QuickSort,11708
1000,67,HeapSort,11574
1000,68,BubbleSort,999000
1000,68,InsertionSort,253046
1000,68,SelectionSort,499500
1000,68,MergeSort,8686
1000,68,QuickSort,11426
1000,68,HeapSort,11649
1000,69,BubbleSort,999000
1000,69,InsertionSort,250764
1000,69,SelectionSort,499500
1000,69,MergeSort,8700
1000,69,QuickSort,10797
1000,69,HeapSort,11647
1000,70,BubbleSort,999000
1000,70,InsertionSort,247355
1000,70,SelectionSort,499500
1000,70,MergeSort,8719
1000,70,QuickSort,11168
1000,70,HeapSort,11653
1000,71,BubbleSort,999000
1000,71,InsertionSort,243292
1000,71,SelectionSort,499500
1000,71,MergeSort,8700
1000,71,QuickSort,10969
1000,71,HeapSort,11707
1000,72,BubbleSort,999000
1000,72,InsertionSort,254469
1000,72,SelectionSort,499500
1000,72,MergeSort,8704
1000,72,QuickSort,11119
1000,72,HeapSort,11667
1000,73,BubbleSort,999000
1000,73,InsertionSort,246586
1000,73,SelectionSort,499500
1000,73,MergeSort,8714
1000,73,QuickSort,11305
1000,73,HeapSort,11728
1000,74,BubbleSort,999000
1000,74,InsertionSort,245484
1000,74,SelectionSort,499500
1000,74,MergeSort,8693
1000,74,QuickSort,11272
1000,74,HeapSort,11705
1000,75,BubbleSort,999000
1000,75,InsertionSort,251161
1000,75,SelectionSort,499500
1000,75,MergeSort,8710
1000,75,QuickSort,11706
1000,75,HeapSort,11616
1000,76,BubbleSort,999000
1000,76,InsertionSort,254430
1000,76,SelectionSort,499500
1000,76,MergeSort,8720
1000,76,QuickSort,12442
1000,76,HeapSort,11644
1000,77,BubbleSort,999000
1000,77,InsertionSort,253034
1000,77,SelectionSort,499500
1000,77,MergeSort,8720
1000,77,QuickSort,11414
1000,77,HeapSort,11702
1000,78,BubbleSort,999000
1000,78,InsertionSort,243469
1000,78,SelectionSort,499500
1000,78,MergeSort,8729
1000,78,QuickSort,12898
1000,78,HeapSort,11787
1000,79,BubbleSort,999000
1000,79,InsertionSort,251221
1000,79,SelectionSort,499500
1000,79,MergeSort,8700
1000,79,QuickSort,11475
1000,79,HeapSort,11665
1000,80,BubbleSort,999000
1000,80,InsertionSort,245164
1000,80,SelectionSort,499500
1000,80,MergeSort,8712
1000,80,QuickSort,11924
1000,80,HeapSort,11711
1000,81,BubbleSort,999000
1000,81,InsertionSort,248909
1000,81,SelectionSort,499500
1000,81,MergeSort,8708
1000,81,QuickSort,11072
1000,81,HeapSort,11718
1000,82,BubbleSort,999000
1000,82,InsertionSort,248976
1000,82,SelectionSort,499500
1000,82,MergeSort,8735
1000,82,QuickSort,12112
1000,82,HeapSort,11730
1000,83,BubbleSort,999000
1000,83,InsertionSort,247286
1000,83,SelectionSort,499500
1000,83,MergeSort,8700
1000,83,QuickSort,11503
1000,83,HeapSort,11641
1000,84,BubbleSort,999000
1000,84,InsertionSort,250623
1000,84,SelectionSort,499500
1000,84,MergeSort,8699
1000,84,QuickSort,12178
1000,84,HeapSort,11705
1000,85,BubbleSort,999000
1000,85,InsertionSort,252874
1000,85,SelectionSort,499500
1000,85,MergeSort,8720
1000,85,QuickSort,12125
1000,85,HeapSort,11712
1000,86,BubbleSort,999000
1000,86,InsertionSort,250645
1000,86,SelectionSort,499500
1000,86,MergeSort,8728
1000,86,QuickSort,11096
1000,86,HeapSort,11656
1000,87,BubbleSort,999000
1000,87,InsertionSort,251198
1000,87,SelectionSort,499500
1000,87,MergeSort,8703
1000,87,QuickSort,12191
1000,87,HeapSort,11658
1000,88,BubbleSort,999000
1000,88,InsertionSort,246428
1000,88,SelectionSort,499500
1000,88,MergeSort,8712
1000,88,QuickSort,10871
1000,88,HeapSort,11686
1000,89,BubbleSort,999000
1000,89,InsertionSort,251957
1000,89,SelectionSort,499500
1000,89,MergeSort,8691
1000,89,QuickSort,12992
1000,89,HeapSort,11698
1000,90,BubbleSort,999000
1000,90,InsertionSort,244841
